Org Defined ID,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
210823,1,1/24/2021 1:46 PM,1/24/2021 1:47 PM,1,,,Trees,,,,,,,
210823,1,1/24/2021 1:46 PM,1/24/2021 1:47 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
210823,1,1/24/2021 1:46 PM,1/24/2021 1:47 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,110m,0.5,1
210823,1,1/24/2021 1:46 PM,1/24/2021 1:47 PM,1,,,Summary:,,Trees,,,,,
191321,1,1/24/2021 12:06 PM,1/24/2021 12:08 PM,1,,,Trees,,,,,,,
191321,1,1/24/2021 12:06 PM,1/24/2021 12:08 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A. less than 150 metres tall,0,1
191321,1,1/24/2021 12:06 PM,1/24/2021 12:08 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100 metres,0,1
191321,1,1/24/2021 12:06 PM,1/24/2021 12:08 PM,1,,,Summary:,,Trees,,,,,
225906,1,1/24/2021 11:01 PM,1/24/2021 11:02 PM,1,,,Trees,,,,,,,
225906,1,1/24/2021 11:01 PM,1/24/2021 11:02 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0,1
225906,1,1/24/2021 11:01 PM,1/24/2021 11:02 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,38,0,1
225906,1,1/24/2021 11:01 PM,1/24/2021 11:02 PM,1,,,Summary:,,Trees,,,,,
214793,1,1/25/2021 5:33 PM,1/25/2021 5:34 PM,1,,,Trees,,,,,,,
214793,1,1/25/2021 5:33 PM,1/25/2021 5:34 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B.,0,1
214793,1,1/25/2021 5:33 PM,1/25/2021 5:34 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100m,0,1
214793,1,1/25/2021 5:33 PM,1/25/2021 5:34 PM,1,,,Summary:,,Trees,,,,,
215864,1,1/26/2021 7:24 PM,1/26/2021 7:25 PM,1,,,Trees,,,,,,,
215864,1,1/26/2021 7:24 PM,1/26/2021 7:25 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
215864,1,1/26/2021 7:24 PM,1/26/2021 7:25 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,70,0.5,1
215864,1,1/26/2021 7:24 PM,1/26/2021 7:25 PM,1,,,Summary:,,Trees,,,,,
195148,1,1/24/2021 9:09 AM,1/24/2021 9:10 AM,1,,,Trees,,,,,,,
195148,1,1/24/2021 9:09 AM,1/24/2021 9:10 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0,1
195148,1,1/24/2021 9:09 AM,1/24/2021 9:10 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,160,0,1
195148,1,1/24/2021 9:09 AM,1/24/2021 9:10 AM,1,,,Summary:,,Trees,,,,,
210970,1,1/24/2021 4:44 PM,1/24/2021 4:45 PM,1,,,Trees,,,,,,,
210970,1,1/24/2021 4:44 PM,1/24/2021 4:45 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
210970,1,1/24/2021 4:44 PM,1/24/2021 4:45 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,150,0.5,1
210970,1,1/24/2021 4:44 PM,1/24/2021 4:45 PM,1,,,Summary:,,Trees,,,,,
195348,1,1/27/2021 11:34 AM,1/27/2021 11:34 AM,1,,,Trees,,,,,,,
195348,1,1/27/2021 11:34 AM,1/27/2021 11:34 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0,1
195348,1,1/27/2021 11:34 AM,1/27/2021 11:34 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,300 metres,0,1
195348,1,1/27/2021 11:34 AM,1/27/2021 11:34 AM,1,,,Summary:,,Trees,,,,,
250685,1,1/25/2021 9:07 PM,1/25/2021 9:08 PM,1,,,Trees,,,,,,,
